Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,TradingSymbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,USDINR,1024216,FUTCUR,,,USDINR2023727FUT,USDINR2023727FUT,USDINR 27JUL23 FUT,2023-07-27,1,0.0025
BCD,bcs_fo,USDINR,1027338,FUTCUR,,,USDINR2023829FUT,USDINR2023829FUT,USDINR 29AUG23 FUT,2023-08-29,1,0.0025
BCD,bcs_fo,USDINR,1031938,FUTCUR,,,USDINR2023926FUT,USDINR2023926FUT,USDINR 26SEP23 FUT,2023-09-26,1,0.0025
BCD,bcs_fo,USDINR,1034922,FUTCUR,,,USDINR20231027FUT,USDINR20231027FUT,USDINR 27OCT23 FUT,2023-10-27,1,0.0025
BCD,bcs_fo,USDINR,1038645,FUTCUR,,,USDINR20231128FUT,USDINR20231128FUT,USDINR 28NOV23 FUT,2023-11-28,1,0.0025
BCD,bcs_fo,USDINR,1043013,FUTCUR,,,USDINR20231227FUT,USDINR20231227FUT,USDINR 27DEC23 FUT,2023-12-27,1,0.0025
BCD,bcs_fo,USDINR,1045813,FUTCUR,,,USDINR2024129FUT,USDINR2024129FUT,USDINR 29JAN24 FUT,2024-01-29,1,0.0025
BCD,bcs_fo,USDINR,1001737,FUTCUR,,,USDINR2024227FUT,USDINR2024227FUT,USDINR 27FEB24 FUT,2024-02-27,1,0.0025
BCD,bcs_fo,USDINR,1007423,FUTCUR,,,USDINR2024327FUT,USDINR2024327FUT,USDINR 27MAR24 FUT,2024-03-27,1,0.0025
BCD,bcs_fo,USDINR,1010820,FUTCUR,,,USDINR2024426FUT,USDINR2024426FUT,USDINR 26APR24 FUT,2024-04-26,1,0.0025
BCD,bcs_fo,USDINR,1015269,FUTCUR,,,USDINR2024529FUT,USDINR2024529FUT,USDINR 29MAY24 FUT,2024-05-29,1,0.0025
BCD,bcs_fo,USDINR,1018752,FUTCUR,,,USDINR2024626FUT,USDINR2024626FUT,USDINR 26JUN24 FUT,2024-06-26,1,0.0025
BCD,bcs_fo,USDINR,1014669,FUTCUR,,,USDINR2023811FUT,USDINR2023811FUT,USDINR 11AUG23 FUT,2023-08-11,1,0.0025
BCD,bcs_fo,USDINR,1019167,FUTCUR,,,USDINR2023915FUT,USDINR2023915FUT,USDINR 15SEP23 FUT,2023-09-15,1,0.0025
BCD,bcs_fo,USDINR,1013098,FUTCUR,,,USDINR2023728FUT,USDINR2023728FUT,USDINR 28JUL23 FUT,2023-07-28,1,0.0025
BCD,bcs_fo,USDINR,1013842,FUTCUR,,,USDINR2023804FUT,USDINR2023804FUT,USDINR 04AUG23 FUT,2023-08-04,1,0.0025
BCD,bcs_fo,USDINR,1018187,FUTCUR,,,USDINR2023908FUT,USDINR2023908FUT,USDINR 08SEP23 FUT,2023-09-08,1,0.0025
BCD,bcs_fo,USDINR,2115357,FUTCUR,,,USDINR2023721FUT,USDINR2023721FUT,USDINR 21JUL23 FUT,2023-07-21,1,0.0025
BCD,bcs_fo,USDINR,1016701,FUTCUR,,,USDINR2023825FUT,USDINR2023825FUT,USDINR 25AUG23 FUT,2023-08-25,1,0.0025
