Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,FreezeQty
MCX,mcx_fo,SILVERM,256100,OPTFUT,PE,85750,SILVERM23NOV85750PE,SILVERM23NOV85750PE,SILVERM 21NOV23 85750 PE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVERM,256101,OPTFUT,CE,86000,SILVERM23NOV86000CE,SILVERM23NOV86000CE,SILVERM 21NOV23 86000 CE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVERM,256102,OPTFUT,PE,86000,SILVERM23NOV86000PE,SILVERM23NOV86000PE,SILVERM 21NOV23 86000 PE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVERM,256103,OPTFUT,CE,86250,SILVERM23NOV86250CE,SILVERM23NOV86250CE,SILVERM 21NOV23 86250 CE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVERM,256104,OPTFUT,PE,86250,SILVERM23NOV86250PE,SILVERM23NOV86250PE,SILVERM 21NOV23 86250 PE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVERM,256738,OPTFUT,CE,86500,SILVERM23NOV86500CE,SILVERM23NOV86500CE,SILVERM 21NOV23 86500 CE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVERM,256739,OPTFUT,PE,86500,SILVERM23NOV86500PE,SILVERM23NOV86500PE,SILVERM 21NOV23 86500 PE,2023-11-21,5,0.5,120
MCX,mcx_fo,SILVER,250882,FUTCOM,,0,SILVER23DECFUT,SILVER23DECFUT,SILVER 05DEC23 FUT,2023-12-05,30,1.0,20
MCX,mcx_fo,GOLD,250883,FUTCOM,,0,GOLD23DECFUT,GOLD23DECFUT,GOLD 05DEC23 FUT,2023-12-05,1,1.0,10
MCX,mcx_fo,GOLD,250986,OPTFUT,CE,53300,GOLD23NOV53300CE,GOLD23NOV53300CE,GOLD 24NOV23 53300 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,250987,OPTFUT,PE,53300,GOLD23NOV53300PE,GOLD23NOV53300PE,GOLD 24NOV23 53300 PE,2023-11-24,1,0.5,100
